order_id,product_id,customer_id,price,order_date,shipping_date,quantity,shipping_city,payment_method
8657977,67787,42136,6357.42,2024-02-15,2024-02-17,3,Vejle,Bankoverførsel
2094564,67787,54297,6357.42,2024-01-30,2024-02-07,3,Odense,MobilePay
1473762,67787,16204,6357.42,2025-01-28,2025-02-05,3,Vejle,Kreditkort
4550801,41876,92908,2533.52,2024-04-16,2024-04-26,4,Odense,Kreditkort
2130733,41180,37497,986.8,2025-10-09,2025-10-18,1,Aarhus,MobilePay
4188801,41867,15672,5890.72,2024-09-29,2024-10-02,2,Odense,MobilePay
3895533,80120,98598,971.28,2024-07-09,2024-07-15,3,Vejle,Bankoverførsel
2139813,41867,12577,2945.36,2025-10-31,2025-11-06,1,Odense,Bankoverførsel
8942271,74804,31427,9798.09,2024-03-06,2024-03-12,3,Aalborg,Bankoverførsel
5474377,50297,62476,4372.15,2024-03-30,2024-04-05,5,Odense,Bankoverførsel
7561205,74435,41608,7692.3,2025-02-18,2025-02-27,5,København,Kreditkort
7949960,67787,19365,8476.56,2024-01-29,2024-02-05,4,København,Bankoverførsel
2442246,41180,23063,2960.4,2024-05-11,2024-05-19,3,Horsens,Bankoverførsel
4389890,74804,62146,3266.03,2025-12-11,2025-12-19,1,Aarhus,Bankoverførsel
3413002,50434,53012,17833.05,2025-06-23,2025-06-29,5,København,Bankoverførsel
3032251,74435,81119,6153.84,2025-07-27,2025-08-02,4,Horsens,MobilePay
3780980,80120,83925,971.28,2024-10-01,2024-10-04,3,Esbjerg,Kreditkort
7538841,80120,55146,1295.04,2024-04-20,2024-04-30,4,Randers,Kreditkort
2040676,67787,56873,2119.14,2024-06-25,2024-06-30,1,Esbjerg,MobilePay
9473328,41876,89353,1266.76,2024-02-17,2024-02-23,2,Aarhus,MobilePay
8813220,67787,43093,8476.56,2025-05-16,2025-05-23,4,Randers,MobilePay
6545792,67787,68775,2119.14,2025-09-02,2025-09-10,1,Esbjerg,MobilePay
1760233,21747,71503,3816.64,2025-04-03,2025-04-10,4,Horsens,Kreditkort
4394181,67787,84639,6357.42,2025-10-11,2025-10-20,3,Aarhus,Kreditkort
1121445,41180,82008,986.8,2024-11-21,2024-12-01,1,Vejle,Bankoverførsel
1534956,50297,25601,3497.72,2024-06-09,2024-06-14,4,Randers,Kreditkort
2919589,21747,38041,954.16,2025-05-07,2025-05-12,1,Randers,Bankoverførsel
2445783,10350,72525,847.08,2025-09-23,2025-10-02,2,Aarhus,MobilePay
3197595,49942,32357,2420.84,2024-05-13,2024-05-14,4,Odense,Kreditkort
8511262,41180,12420,4934.0,2025-03-29,2025-04-02,5,København,Kreditkort
7161062,50434,28943,3566.61,2024-09-12,2024-09-15,1,Aarhus,Kreditkort
4210559,74435,28899,6153.84,2024-12-12,2024-12-19,4,Vejle,Kreditkort
8118450,96839,44792,5971.72,2025-01-30,2025-02-08,2,Aalborg,Bankoverførsel
9486914,41867,46465,8836.08,2025-07-29,2025-08-04,3,København,MobilePay
5968428,80579,25139,3078.78,2024-05-07,2024-05-08,2,Aalborg,MobilePay
1936430,50297,95890,4372.15,2025-01-06,2025-01-13,5,Esbjerg,Bankoverførsel
2185569,74435,70135,6153.84,2024-07-26,2024-08-01,4,Aalborg,MobilePay
4547562,41180,86514,3947.2,2024-02-20,2024-02-25,4,Odense,MobilePay
9694233,49942,61918,2420.84,2024-08-17,2024-08-20,4,Aarhus,Bankoverførsel
7446904,44624,66868,8941.12,2025-10-12,2025-10-22,2,Esbjerg,MobilePay
4671243,10350,13564,423.54,2024-03-04,2024-03-10,1,Horsens,MobilePay
2732431,50434,83474,7133.22,2025-02-24,2025-03-01,2,Vejle,MobilePay
7918520,41180,22624,1973.6,2024-09-02,2024-09-11,2,Vejle,Kreditkort
2073204,80579,48163,3078.78,2025-09-02,2025-09-09,2,København,MobilePay
5982908,74804,60219,6532.06,2025-05-08,2025-05-16,2,Aalborg,Bankoverførsel
9279095,49942,82991,1815.63,2024-12-11,2024-12-19,3,Odense,Bankoverførsel
9286915,41867,55190,14726.8,2024-05-08,2024-05-12,5,Vejle,MobilePay
7242521,10350,18628,423.54,2025-10-31,2025-11-04,1,København,Kreditkort
8913730,80579,39033,6157.56,2024-05-09,2024-05-16,4,Aarhus,MobilePay
8662908,80120,91562,1295.04,2024-12-17,2024-12-21,4,Vejle,MobilePay
5398263,10350,89451,1694.16,2024-09-18,2024-09-25,4,Esbjerg,Kreditkort
6534747,96839,46896,2985.86,2025-08-10,2025-08-14,1,Esbjerg,Kreditkort
3043430,80120,53347,971.28,2024-11-25,2024-12-01,3,København,MobilePay
